Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
COSTA DEL SOL,"1,890,000","1,313.21","1,439",Aug-21,BAYSHORE ROAD,Resale,Strata,122,"15,492",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"2,000,000","1,313.21","1,523",Aug-21,BAYSHORE ROAD,Resale,Strata,122,"16,393",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"1,580,000","1,237.86","1,276",Aug-21,BAYSHORE ROAD,Resale,Strata,115,"13,739",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,750,000","1,227.1","1,426",Aug-21,BAYSHORE ROAD,Resale,Strata,114,"15,351",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"2,180,000","1,345.5","1,620",Aug-21,BAYSHORE ROAD,Resale,Strata,125,"17,440",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,960,000","1,560.78","1,256",Aug-21,BAYSHORE ROAD,Resale,Strata,145,"13,517",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,900,000","1,313.21","1,447",Jul-21,BAYSHORE ROAD,Resale,Strata,122,"15,574",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"1,580,000","1,237.86","1,276",Jul-21,BAYSHORE ROAD,Resale,Strata,115,"13,739",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"1,880,000","1,313.21","1,432",Jul-21,BAYSHORE ROAD,Resale,Strata,122,"15,410",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"1,568,000","1,237.86","1,267",Jul-21,BAYSHORE ROAD,Resale,Strata,115,"13,635",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,850,000","1,345.5","1,375",Jun-21,BAYSHORE ROAD,Resale,Strata,125,"14,800",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"2,088,000","1,959.05","1,066",May-21,BAYSHORE ROAD,Resale,Strata,182,"11,473",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,530,000","1,237.86","1,236",May-21,BAYSHORE ROAD,Resale,Strata,115,"13,304",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,300,000",947.23,"1,372",May-21,BAYSHORE ROAD,Resale,Strata,88,"14,773",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"1,890,000","1,313.21","1,439",May-21,BAYSHORE ROAD,Resale,Strata,122,"15,492",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"1,736,800","1,227.1","1,415",Apr-21,BAYSHORE ROAD,Resale,Strata,114,"15,235",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"3,050,000","2,540.3","1,201",Apr-21,BAYSHORE ROAD,Resale,Strata,236,"12,924",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,650,000","1,227.1","1,345",Apr-21,BAYSHORE ROAD,Resale,Strata,114,"14,474",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"2,700,000","1,991.34","1,356",Apr-21,BAYSHORE ROAD,Resale,Strata,185,"14,595",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,560,000","1,237.86","1,260",Mar-21,BAYSHORE ROAD,Resale,Strata,115,"13,565",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"2,655,000","1,754.53","1,513",Mar-21,BAYSHORE ROAD,Resale,Strata,163,"16,288",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"1,860,000","1,345.5","1,382",Mar-21,BAYSHORE ROAD,Resale,Strata,125,"14,880",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,539,000","1,227.1","1,254",Mar-21,BAYSHORE ROAD,Resale,Strata,114,"13,500",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,825,000","1,313.21","1,390",Mar-21,BAYSHORE ROAD,Resale,Strata,122,"14,959",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"2,100,000","1,474.67","1,424",Feb-21,BAYSHORE ROAD,Resale,Strata,137,"15,328",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"2,400,000","1,797.59","1,335",Feb-21,BAYSHORE ROAD,Resale,Strata,167,"14,371",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,760,000","1,345.5","1,308",Jan-21,BAYSHORE ROAD,Resale,Strata,125,"14,080",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"2,100,000","1,474.67","1,424",Dec-20,BAYSHORE ROAD,Resale,Strata,137,"15,328",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"1,880,000","1,474.67","1,275",Dec-20,BAYSHORE ROAD,Resale,Strata,137,"13,723",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"1,740,000","1,237.86","1,406",Dec-20,BAYSHORE ROAD,Resale,Strata,115,"15,130",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,600,000","1,237.86","1,293",Dec-20,BAYSHORE ROAD,Resale,Strata,115,"13,913",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"1,650,000","1,313.21","1,256",Nov-20,BAYSHORE ROAD,Resale,Strata,122,"13,525",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,590,000","1,313.21","1,211",Nov-20,BAYSHORE ROAD,Resale,Strata,122,"13,033",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"2,888,000","2,249.68","1,284",Nov-20,BAYSHORE ROAD,Resale,Strata,209,"13,818",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,780,000","1,474.67","1,207",Nov-20,BAYSHORE ROAD,Resale,Strata,137,"12,993",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,790,000","1,474.67","1,214",Nov-20,BAYSHORE ROAD,Resale,Strata,137,"13,066",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,920,000","1,474.67","1,302",Nov-20,BAYSHORE ROAD,Resale,Strata,137,"14,015",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"2,050,000","1,474.67","1,390",Nov-20,BAYSHORE ROAD,Resale,Strata,137,"14,964",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,934,500","1,560.78","1,239",Nov-20,BAYSHORE ROAD,Resale,Strata,145,"13,341",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,839,000","1,345.5","1,367",Oct-20,BAYSHORE ROAD,Resale,Strata,125,"14,712",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,420,000","1,237.86","1,147",Oct-20,BAYSHORE ROAD,Resale,Strata,115,"12,348",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,750,000","1,237.86","1,414",Oct-20,BAYSHORE ROAD,Resale,Strata,115,"15,217",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"2,138,000","1,474.67","1,450",Sep-20,BAYSHORE ROAD,Resale,Strata,137,"15,606",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"2,220,000","1,560.78","1,422",Sep-20,BAYSHORE ROAD,Resale,Strata,145,"15,310",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"2,400,000","1,754.53","1,368",Sep-20,BAYSHORE ROAD,Resale,Strata,163,"14,724",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"2,090,000","1,786.82","1,170",Sep-20,BAYSHORE ROAD,Resale,Strata,166,"12,590",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,758,888","1,313.21","1,339",Aug-20,BAYSHORE ROAD,Resale,Strata,122,"14,417",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"1,650,000","1,313.21","1,256",Aug-20,BAYSHORE ROAD,Resale,Strata,122,"13,525",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"1,620,000","1,313.21","1,234",Aug-20,BAYSHORE ROAD,Resale,Strata,122,"13,279",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,650,000","1,323.97","1,246",Aug-20,BAYSHORE ROAD,Resale,Strata,123,"13,415",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"1,680,000","1,474.67","1,139",Aug-20,BAYSHORE ROAD,Resale,Strata,137,"12,263",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"2,425,000","1,754.53","1,382",Aug-20,BAYSHORE ROAD,Resale,Strata,163,"14,877",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,300,000",947.23,"1,372",Aug-20,BAYSHORE ROAD,Resale,Strata,88,"14,773",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,475,000","1,313.21","1,123",Aug-20,BAYSHORE ROAD,Resale,Strata,122,"12,090",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,650,000","1,345.5","1,226",Aug-20,BAYSHORE ROAD,Resale,Strata,125,"13,200",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,715,000","1,345.5","1,275",Aug-20,BAYSHORE ROAD,Resale,Strata,125,"13,720",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,240,000","1,388.56",893,Jul-20,BAYSHORE ROAD,Resale,Strata,129,"9,612",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,850,000","1,560.78","1,185",Jul-20,BAYSHORE ROAD,Resale,Strata,145,"12,759",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,620,000","1,237.86","1,309",Jul-20,BAYSHORE ROAD,Resale,Strata,115,"14,087",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"1,925,000","1,474.67","1,305",Jul-20,BAYSHORE ROAD,Resale,Strata,137,"14,051",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,630,000","1,345.5","1,211",Jul-20,BAYSHORE ROAD,Resale,Strata,125,"13,040",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"2,350,000","2,066.69","1,137",Jul-20,BAYSHORE ROAD,Resale,Strata,192,"12,240",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,450,000","1,237.86","1,171",Apr-20,BAYSHORE ROAD,Resale,Strata,115,"12,609",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,628,000","1,227.1","1,327",Mar-20,BAYSHORE ROAD,Resale,Strata,114,"14,281",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"2,100,000","1,560.78","1,345",Feb-20,BAYSHORE ROAD,Resale,Strata,145,"14,483",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,720,000","1,345.5","1,278",Feb-20,BAYSHORE ROAD,Resale,Strata,125,"13,760",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"2,350,000","1,991.34","1,180",Feb-20,BAYSHORE ROAD,Resale,Strata,185,"12,703",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,760,000","1,474.67","1,193",Jan-20,BAYSHORE ROAD,Resale,Strata,137,"12,847",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,695,000","1,323.97","1,280",Nov-19,BAYSHORE ROAD,Resale,Strata,123,"13,780",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,735,000","1,323.97","1,310",Nov-19,BAYSHORE ROAD,Resale,Strata,123,"14,106",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,660,000","1,323.97","1,254",Nov-19,BAYSHORE ROAD,Resale,Strata,123,"13,496",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"1,790,000","1,313.21","1,363",Oct-19,BAYSHORE ROAD,Resale,Strata,122,"14,672",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,710,000","1,345.5","1,271",Oct-19,BAYSHORE ROAD,Resale,Strata,125,"13,680",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"1,560,000","1,313.21","1,188",Sep-19,BAYSHORE ROAD,Resale,Strata,122,"12,787",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,260,899",947.23,"1,331",Sep-19,BAYSHORE ROAD,Resale,Strata,88,"14,328",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,550,000","1,345.5","1,152",Aug-19,BAYSHORE ROAD,Resale,Strata,125,"12,400",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,767,500","1,313.21","1,346",Aug-19,BAYSHORE ROAD,Resale,Strata,122,"14,488",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,700,000","1,237.86","1,373",Aug-19,BAYSHORE ROAD,Resale,Strata,115,"14,783",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,600,000","1,237.86","1,293",Jul-19,BAYSHORE ROAD,Resale,Strata,115,"13,913",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"2,100,000","1,937.52","1,084",Jul-19,BAYSHORE ROAD,Resale,Strata,180,"11,667",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,650,000","1,313.21","1,256",May-19,BAYSHORE ROAD,Resale,Strata,122,"13,525",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,980,000","1,474.67","1,343",May-19,BAYSHORE ROAD,Resale,Strata,137,"14,453",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"2,025,000","1,560.78","1,297",May-19,BAYSHORE ROAD,Resale,Strata,145,"13,966",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
